ID,카테고리,아이템,원본 크기 XYZ(m),조정 크기 XYZ(m),축소 배율,비고,프리팹,원본 에셋,패키지
food_eeabcc33af,음식·음료,탄산음료 002,0.130 × 0.268 × 0.106,0.130 × 0.268 × 0.106,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_eeabcc33af.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Soda_002.prefab,Food FREE - Low Poly 3D Models Pack
food_7f9c9194b9,음식·음료,차 003,0.128 × 0.077 × 0.127,0.128 × 0.077 × 0.127,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_7f9c9194b9.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Tea_003.prefab,Food FREE - Low Poly 3D Models Pack
food_481007ae58,음식·음료,수박 001,0.200 × 0.207 × 0.200,0.200 × 0.207 × 0.200,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_481007ae58.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Watermelon_001.prefab,Food FREE - Low Poly 3D Models Pack
food_8487078170,음식·음료,수박 002,0.200 × 0.107 × 0.200,0.200 × 0.107 × 0.200,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_8487078170.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Watermelon_002.prefab,Food FREE - Low Poly 3D Models Pack
food_b0167f30d5,음식·음료,수박 003,0.110 × 0.098 × 0.030,0.110 × 0.098 × 0.030,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_b0167f30d5.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Watermelon_003.prefab,Food FREE - Low Poly 3D Models Pack
food_5f84b16f75,음식·음료,요구르트 002,0.054 × 0.150 × 0.054,0.054 × 0.150 × 0.054,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_5f84b16f75.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Yogurt_002.prefab,Food FREE - Low Poly 3D Models Pack
food_0e80086e06,음식·음료,커피컵 Green,0.117 × 0.187 × 0.117,0.117 × 0.187 × 0.117,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_0e80086e06.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/FastCoffeeCupGreen.prefab,Low Poly Basic Items Pack - Household Items
food_514b427742,음식·음료,커피컵 Red,0.155 × 0.247 × 0.155,0.155 × 0.247 × 0.155,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_514b427742.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/FastCoffeeCupRed.prefab,Low Poly Basic Items Pack - Household Items
food_0c624feec8,음식·음료,음료컵 Blue,0.155 × 0.334 × 0.155,0.155 × 0.334 × 0.155,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_0c624feec8.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/FastFoodCupBlue.prefab,Low Poly Basic Items Pack - Household Items
food_453920dd49,음식·음료,음료컵 Green,0.155 × 0.334 × 0.155,0.155 × 0.334 × 0.155,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_453920dd49.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/FastFoodCupGreen.prefab,Low Poly Basic Items Pack - Household Items
food_c1e6cecdf0,음식·음료,음료컵 Red,0.155 × 0.334 × 0.155,0.155 × 0.334 × 0.155,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_c1e6cecdf0.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/FastFoodCupRed.prefab,Low Poly Basic Items Pack - Household Items
food_3bf3ed0822,음식·음료,우유팩 Blue,0.167 × 0.351 × 0.167,0.167 × 0.351 × 0.167,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_3bf3ed0822.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/MilkCartonBlue.prefab,Low Poly Basic Items Pack - Household Items
food_01763ee0e9,음식·음료,우유팩 Red,0.167 × 0.351 × 0.167,0.167 × 0.351 × 0.167,1.0,색상 변형 (종류 수 중복 제외),Assets/_Game/Content/ItemCollection/Prefabs/food/food_01763ee0e9.prefab,Assets/ItemSources/Low_Poly_Basic_Items_Pack_Household_Items/Kabungus/HouseholdItems/Prefabs/MilkCartonRed.prefab,Low Poly Basic Items Pack - Household Items
food_7e47bba623,음식·음료,사과,0.183 × 0.153 × 0.183,0.183 × 0.153 × 0.183,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_7e47bba623.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Apple.prefab,RPG Food Props DEMO
food_baa14fab02,음식·음료,빵 1,0.240 × 0.114 × 0.240,0.240 × 0.114 × 0.240,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_baa14fab02.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Bread1.prefab,RPG Food Props DEMO
food_78e2cb2499,음식·음료,빵 2,0.238 × 0.112 × 0.135,0.238 × 0.112 × 0.135,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_78e2cb2499.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Bread2.prefab,RPG Food Props DEMO
food_67c3d4ce57,음식·음료,치즈 1,0.249 × 0.076 × 0.252,0.249 × 0.076 × 0.252,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_67c3d4ce57.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Cheese1.prefab,RPG Food Props DEMO
food_922cc9bd4f,음식·음료,치즈 2,0.101 × 0.076 × 0.119,0.101 × 0.076 × 0.119,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_922cc9bd4f.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Cheese2.prefab,RPG Food Props DEMO
food_d454c4074d,음식·음료,고기 1,0.277 × 0.052 × 0.286,0.277 × 0.052 × 0.286,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_d454c4074d.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Meat1.prefab,RPG Food Props DEMO
food_0b91215d01,음식·음료,고기 2,0.194 × 0.058 × 0.243,0.194 × 0.058 × 0.243,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_0b91215d01.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Meat2.prefab,RPG Food Props DEMO
food_1a90baab83,음식·음료,오렌지,0.155 × 0.140 × 0.155,0.155 × 0.140 × 0.155,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_1a90baab83.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Orange.prefab,RPG Food Props DEMO
food_022d2be201,음식·음료,호박,0.415 × 0.323 × 0.411,0.397 × 0.309 × 0.393,0.9564172029495239,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_022d2be201.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Pumpkin.prefab,RPG Food Props DEMO
food_6d4a0403c6,음식·음료,소시지,0.106 × 0.104 × 0.245,0.106 × 0.104 × 0.245,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_6d4a0403c6.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Sausage.prefab,RPG Food Props DEMO
food_090200a55f,음식·음료,토마토,0.178 × 0.138 × 0.178,0.178 × 0.138 × 0.178,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_090200a55f.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Tomato.prefab,RPG Food Props DEMO
food_e55c3ad320,음식·음료,수박,0.262 × 0.240 × 0.265,0.262 × 0.240 × 0.265,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_e55c3ad320.prefab,Assets/ItemSources/RPG_Food_Props_DEMO/RPG FOOD PROPS/UNIVERSAL RENDER PIPELINE/Prefabs/Watermelon.prefab,RPG Food Props DEMO
household_3c5307b87f,생활용품,병 002,0.061 × 0.199 × 0.061,0.061 × 0.199 × 0.061,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_3c5307b87f.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Bottle_002.prefab,Food FREE - Low Poly 3D Models Pack
household_847b89a7cc,생활용품,그릇 001,0.196 × 0.087 × 0.196,0.196 × 0.087 × 0.196,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_847b89a7cc.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Bowl_001.prefab,Food FREE - Low Poly 3D Models Pack
household_1e8d2ddfc9,생활용품,컵 003,0.127 × 0.050 × 0.127,0.127 × 0.050 × 0.127,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_1e8d2ddfc9.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Cup_003.prefab,Food FREE - Low Poly 3D Models Pack
household_9b2782290f,생활용품,포크 001,0.040 × 0.024 × 0.197,0.040 × 0.024 × 0.197,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_9b2782290f.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Fork_001.prefab,Food FREE - Low Poly 3D Models Pack
household_035ca8b444,생활용품,유리잔 001,0.114 × 0.212 × 0.114,0.114 × 0.212 × 0.114,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_035ca8b444.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Glass_001.prefab,Food FREE - Low Poly 3D Models Pack
household_539c2c6c84,생활용품,유리잔 004,0.093 × 0.091 × 0.093,0.093 × 0.091 × 0.093,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_539c2c6c84.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Glass_004.prefab,Food FREE - Low Poly 3D Models Pack
household_314e1b48cd,생활용품,유리잔 005,0.101 × 0.118 × 0.101,0.101 × 0.118 × 0.101,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_314e1b48cd.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Glass_005.prefab,Food FREE - Low Poly 3D Models Pack
household_6c5a722540,생활용품,유리잔 008,0.077 × 0.223 × 0.077,0.077 × 0.223 × 0.077,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_6c5a722540.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Glass_008.prefab,Food FREE - Low Poly 3D Models Pack
household_f9208d672e,생활용품,접시 001,0.239 × 0.022 × 0.242,0.239 × 0.022 × 0.242,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_f9208d672e.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Plate_001.prefab,Food FREE - Low Poly 3D Models Pack
household_5b2e64b2f3,생활용품,접시 007,0.232 × 0.030 × 0.232,0.232 × 0.030 × 0.232,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/household/household_5b2e64b2f3.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Plate_007.prefab,Food FREE - Low Poly 3D Models Pack
household_d421a867f5,생활용품,화분 01 / 성장 1,0.609 × 0.611 × 0.609,0.393 × 0.395 × 0.393,0.6456558704376221,화분 조합/성장 단계: 서로 다른 식물 종류로 중복 계산하지 않음,Assets/_Game/Content/ItemCollection/Prefabs/household/household_d421a867f5.prefab,Assets/ItemSources/FREE_Low_Poly_Plants_Pots_Demo_with_Growth_System_Cosmic_Retro/CosmicRetro_Plants&PotsPack_Demo/Prefabs/Plant + Pot/CS_Plant_Pot_01_L1.prefab,FREE Low Poly Plants Pots Demo with Growth System Cosmic Retro
household_99f9e167ce,생활용품,화분 01 / 성장 2,0.609 × 0.754 × 0.609,0.393 × 0.487 × 0.393,0.6456558704376221,화분 조합/성장 단계: 서로 다른 식물 종류로 중복 계산하지 않음,Assets/_Game/Content/ItemCollection/Prefabs/household/household_99f9e167ce.prefab,Assets/ItemSources/FREE_Low_Poly_Plants_Pots_Demo_with_Growth_System_Cosmic_Retro/CosmicRetro_Plants&PotsPack_Demo/Prefabs/Plant + Pot/CS_Plant_Pot_01_L2.prefab,FREE Low Poly Plants Pots Demo with Growth System Cosmic Retro
household_470b7c5d52,생활용품,화분 01 / 성장 3,0.745 × 1.051 × 0.686,0.427 × 0.603 × 0.393,0.5731411576271057,화분 조합/성장 단계: 서로 다른 식물 종류로 중복 계산하지 않음,Assets/_Game/Content/ItemCollection/Prefabs/household/household_470b7c5d52.prefab,Assets/ItemSources/FREE_Low_Poly_Plants_Pots_Demo_with_Growth_System_Cosmic_Retro/CosmicRetro_Plants&PotsPack_Demo/Prefabs/Plant + Pot/CS_Plant_Pot_01_L3.prefab,FREE Low Poly Plants Pots Demo with Growth System Cosmic Retro
household_2d18c6fa17,생활용품,화분 06 / 성장 1,0.609 × 0.763 × 0.609,0.393 × 0.493 × 0.393,0.6456558704376221,화분 조합/성장 단계: 서로 다른 식물 종류로 중복 계산하지 않음,Assets/_Game/Content/ItemCollection/Prefabs/household/household_2d18c6fa17.prefab,Assets/ItemSources/FREE_Low_Poly_Plants_Pots_Demo_with_Growth_System_Cosmic_Retro/CosmicRetro_Plants&PotsPack_Demo/Prefabs/Plant + Pot/CS_Plant_Pot_06_L1.prefab,FREE Low Poly Plants Pots Demo with Growth System Cosmic Retro
